부서,담당,업무
정책기획실,예산담당,시 행정의 종합기획 조정
정책기획실,예산담당,주요 지시사항 처리 및 관리(총괄)
정책기획실,예산담당,연중 주요업무계획의 수립
정책기획실,예산담당,"시의 중장기 발전계획에 대한 기획·분석·조정 (단, 각 개별법에 의한 계획은 제외)"
정책기획실,예산담당,시정 종합현황 작성 및 유지
정책기획실,예산담당,시의 정책개발에 관한 사항
정책기획실,예산담당,국·도책 사업 발굴 추진
정책기획실,예산담당,시민포럼 및 시정연구모임 운영
정책기획실,예산담당,자치단체간 분쟁협조에 관한 사항
정책기획실,예산담당,행정산업정보 박람회 등에 관한 사항
정책기획실,예산담당,영천시민헌장에 관한 사항
정책기획실,예산담당,영천의 상징물에 관한 사항
정책기획실,예산담당,주요시책(시정)의 확인 및 평가
정책기획실,예산담당,"공약사업 종합추진(대통령, 총리, 장관, 지사, 시장)"
정책기획실,예산담당,부서별 인센티브 및 목표관리제 운영
정책기획실,예산담당,중앙 및 도 자치단체 평가에 대한 사항
정책기획실,예산담당,학술정책연구용역 총괄 관리
정책기획실,예산담당,지방분권과제 추진 및 지방이양대상 사무
정책기획실,예산담당,시정백서 발간
정책기획실,예산담당,지식관리시스템 운영
정책기획실,예산담당,각종 위원회 총괄관리
정책기획실,예산담당,정책실명제에 관한 사항
정책기획실,예산담당,"영천시정 책자, 홍보 동영상 제작"
정책기획실,예산담당,실내 다른 업무분야에 속하지 아니하는 사항
정책기획실,지방시대정책담당,일반회계 및 특별회계 예산의 편성
정책기획실,지방시대정책담당,국․도비 보조사업 부담에 관한 사항
정책기획실,지방시대정책담당,예산집행 품의 및 재정사항 검토
정책기획실,지방시대정책담당,예산의 운영 및 예비비 지출관련 사항
정책기획실,지방시대정책담당,중기 지방재정계획 수립에 관한 사항
정책기획실,지방시대정책담당,교부세에 관한 사항
정책기획실,지방시대정책담당,"지방채, 공채 등 채무부담에 관한 사항"
정책기획실,지방시대정책담당,주요투자사업 우선순위 검토 심사 및 효과분석
정책기획실,지방시대정책담당,기금사업 타당성 분석 및 유치총괄
청렴감사실,조사담당,본청과 산하기관에 대한 자체감사 계획수립과 시행
청렴감사실,조사담당,상부기관 감사의 수감과 결과 처리
청렴감사실,조사담당,청렴 및 부패방지 종합대책 추진
청렴감사실,조사담당,자율적 내부통제에 관한 사항
청렴감사실,조사담당,회계검사에 관한 사항
청렴감사실,조사담당,일상감사(공사·용역·물품)에 관한사항
청렴감사실,조사담당,계약원가심사에 관한 사항
청렴감사실,조사담당,다수인관련 민원에 대한 통제 및 관리
청렴감사실,조사담당,감사사항의 기록 관리
청렴감사실,조사담당,징계의결요구에 관한 사항
청렴감사실,조사담당,징계소청(도 징계요구사항)
청렴감사실,조사담당,실 내 다른 업무분야에 속하지 아니하는 사항
홍보전산실,언론홍보담당,시정홍보 계획의 수립 및 시행
홍보전산실,언론홍보담당,시보발간
홍보전산실,언론홍보담당,시정 홍보물 발간
홍보전산실,언론홍보담당,정기간행물 등록 관리
홍보전산실,언론홍보담당,"인터뷰, 대담 자료 작성"
홍보전산실,언론홍보담당,지역언론사 관리 및 자료제공
홍보전산실,언론홍보담당,실 내 다른 업무분야에 속하지 아니하는 사항
홍보전산실,정보운영담당,언론자료 수집 및 제공에 관한 사항
홍보전산실,정보운영담당,방송 등 언론 보도지원
홍보전산실,정보운영담당,언론사 및 출입기자에 관한 사항
홍보전산실,정보운영담당,"지방, 중앙 언론사 관리 및 자료제공"
홍보전산실,정보운영담당,기사 모니터링 및 보도사항 분석(스크랩 포함)
홍보전산실,정보운영담당,언론 광고 관리
역세권개발추진단,경마공원담당,역세권개발 관련 개발계획 수립
역세권개발추진단,경마공원담당,역세권 인프라 조성 및 신규사업에 관한 사항
역세권개발추진단,경마공원담당,철도 주변 시설물 및 환경 정비
역세권개발추진단,경마공원담당,도시철도 영천(금호)역 주변 개발사업에 관한 사항
역세권개발추진단,경마공원담당,영천역 주변 개발사업 추진에 관한 사항
총무과,시정담당,국 소관 행정의 종합기획 조정
총무과,시정담당,공인관리
총무과,시정담당,의전·의식 및 행사
총무과,시정담당,일·주·월중 행사계획 및 확대간부회의
총무과,시정담당,직원복무단속 및 복무관련 제반업무 처리
총무과,시정담당,보안업무 총괄
총무과,시정담당,당직근무 및 비상연락에 관한 사항
총무과,시정담당,청사경비 운영에 관한 사항
총무과,시정담당,공무원 전문MC 운영에 관한 사항
총무과,시정담당,회의실 관리
총무과,시정담당,"기록물관리, 행정자료실·기록관 운영"
총무과,시정담당,기록관리시스템 운영 및 관리
총무과,시정담당,기능분류시스템 운영 및 관리
총무과,시정담당,일반·전자문서의 접수 및 배부
총무과,시정담당,우편물 접수 및 배부·발송에 관한 사항
총무과,시정담당,고시·공고에 관한 사항
총무과,시정담당,기타 부서에 포함되지 아니하는 사항
총무과,후생복지담당,지역안정대책 추진주민여론지역 동향파악
총무과,후생복지담당,"읍·면·동, 주민센터의 행정지도 및 감독"
총무과,후생복지담당,행정구역 조정
총무과,후생복지담당,선거 및 국민투표에 관한 사항
총무과,후생복지담당,반상회 운영 및 대화행정 추진
총무과,후생복지담당,고객만족행정 종합계획수립 시행
총무과,후생복지담당,시민 아이디어 공모 및 제안제도 운영
총무과,후생복지담당,"민간인 표창에 관한 사항(시민상, 도민상 등)"
총무과,후생복지담당,"국제교류, 국내도시·단체 교류 및 관리"
총무과,후생복지담당,민주평화통일자문회 운영지원
총무과,후생복지담당,사회단체 관리에 관한 사항
총무과,후생복지담당,이북5도민 및 자유이념단체 육성 지원
총무과,후생복지담당,북한이탈 주민에 관한 사항
총무과,후생복지담당,시장지시 사항 공유 및 기록유지에 관한 사항
총무과,후생복지담당,과거사 진상규명 등에 관한 사항
